"rank","language","original","translation"
1,"de","schon","beautiful"
2,"de","vorname","first given name"
3,"de","rechnung","bill"
4,"de","ort","place"
5,"de","angebot","offer"
6,"de","heute","today"
7,"de","gleich","equal"
8,"de","ausbildung","education"
9,"de","anfrage","inquiry"
10,"de","einfach","easy"
1,"es","inglés","english"
2,"es","jueves","thursday"
3,"es","miércoles","wednesday"
4,"es","saludos","regards"
5,"es","bueno","good"
6,"es","amor","love"
7,"es","español","spanish"
8,"es","comida","food"
9,"es","viernes","friday"
10,"es","nada","nothing"
1,"fr","bonsoir","good evening"
2,"fr","bien","good"
3,"fr","prénom","first name"
4,"fr","est","east"
5,"fr","bon","good"
6,"fr","nom","name"
7,"fr","demain","tomorrow"
8,"fr","monsieur","gentleman"
9,"fr","pouvoir","power"
10,"fr","français","french"
1,"it","hallo","hello"
2,"it","ich","i"
3,"it","schon","beautiful"
4,"it","danke","thank you"
5,"it","sie","you"
6,"it","auch","also"
7,"it","leider","unfortunately"
8,"it","über","about"
9,"it","bitte","you're welcome"
10,"it","wie","as"
1,"ja","hallo","hello"
2,"ja","ich","i"
3,"ja","schon","beautiful"
4,"ja","danke","thank you"
5,"ja","sie","you"
6,"ja","auch","also"
7,"ja","leider","unfortunately"
8,"ja","über","about"
9,"ja","bitte","you're welcome"
10,"ja","wie","as"
1,"nl","hallo","hello"
2,"nl","ich","i"
3,"nl","schon","beautiful"
4,"nl","danke","thank you"
5,"nl","sie","you"
6,"nl","auch","also"
7,"nl","leider","unfortunately"
8,"nl","über","about"
9,"nl","bitte","you're welcome"
10,"nl","wie","as"
1,"pl","hallo","hello"
2,"pl","ich","i"
3,"pl","schon","beautiful"
4,"pl","danke","thank you"
5,"pl","sie","you"
6,"pl","auch","also"
7,"pl","leider","unfortunately"
8,"pl","über","about"
9,"pl","bitte","you're welcome"
10,"pl","wie","as"
1,"pt","hallo","hello"
2,"pt","ich","i"
3,"pt","schon","beautiful"
4,"pt","danke","thank you"
5,"pt","sie","you"
6,"pt","auch","also"
7,"pt","leider","unfortunately"
8,"pt","über","about"
9,"pt","bitte","you're welcome"
10,"pt","wie","as"
1,"ru","hallo","hello"
2,"ru","ich","i"
3,"ru","schon","beautiful"
4,"ru","danke","thank you"
5,"ru","sie","you"
6,"ru","auch","also"
7,"ru","leider","unfortunately"
8,"ru","über","about"
9,"ru","bitte","you're welcome"
10,"ru","wie","as"
1,"tr","hallo","hello"
2,"tr","ich","i"
3,"tr","schon","beautiful"
4,"tr","danke","thank you"
5,"tr","sie","you"
6,"tr","auch","also"
7,"tr","leider","unfortunately"
8,"tr","über","about"
9,"tr","bitte","you're welcome"
10,"tr","wie","as"
1,"all","","you"
2,"all","","the"
3,"all","","hello"
4,"all","","also"
5,"all","","so"
6,"all","","but"
7,"all","","thank you"
8,"all","","beautiful"
9,"all","","good"
10,"all","","no"
